Réseau,Produit,Années d'exercice,Garantie,Les primes émises_garantie Décès 2022,(REC/Provisions Mathématiques)_Décès au 01/01/2022,Provisions pour SAP AU 01/01/2022,TOTAL  CREDIT,Les sinistres payés_Décès de l'éxercice 2022,(REC/Provisions Mathématiques)_Décès au 31/12/2022,Provisions pour SAP au 31/12/2022,Report du solde Débiteur eventuel des exercices anterieurs ,TOTAL DEBIT,Résultat technique,Charge sinistre (N),Charge sinistre (N-1),Charge sinistre (N-2),Charge sinistre (N-3),NB d'année contrat,MOYENNE,Provision d'égalisation
C67,prévoyance,2022,Décés,3839077.9200000004,0,1000000,4839077.92,1000000,0,0,0,1000000,3839077.92,0,0,2000000,1000000,,1000000,150000
C68,prévoyance,2022,Décés,69748.56,0,0,69748.56,0,28854.883726027398,0,0,28854.883726027398,40893.6762739726,0,0,0,0,,0,0
C69,prévoyance,2022,Décés,4766751,0,0,4766751,0,2768633.457534246,660000,0,3428633.457534246,1338117.5424657539,660000,660000,0,0,,220000,33000
C70,prévoyance,2022,Décés,81257.71411509832,27410.136398867522,0,108667.85051396585,0,33616.205017479035,0,0,33616.205017479035,75051.64549648682,0,0,0,0,,0,0
C71,prévoyance,2022,Décés,7500643.029503915,0,0,7500643.029503915,0,0,0,0,0,7500643.029503915,0,0,0,0,,0,0
C72,prévoyance,2022,Décés,103238.96754879801,26892.96401398323,0,130131.93156278125,0,36202.0669419005,0,0,36202.0669419005,93929.86462088075,0,0,0,0,,0,0
C73,prévoyance,2022,Décés,180019778.4,44569528.76712328,38000000,262589307.1671233,78000000,112304869.875,22000000,0,212304869.875,50284437.29212329,62000000,62000000,68750000,28000000,,52916666.666666664,7937499.999999999
C74,prévoyance,2022,Décés,247962.5,0,0,247962.5,0,0,0,0,0,247962.5,0,0,0,0,,0,0
C75,prévoyance,2022,Décés,58588.799999999996,43594.5994520548,0,102183.39945205479,0,39005.694246575345,0,0,39005.694246575345,63177.70520547944,0,0,0,0,,0,0
C76,prévoyance,2022,Décés,84071.52000000002,60116.89512328768,0,144188.4151232877,0,55970.9023561644,0,0,55970.9023561644,88217.5127671233,0,0,0,0,,0,0
C77,prévoyance,2022,Décés,6698.400000000001,0,0,6698.400000000001,0,0,0,0,0,6698.400000000001,0,0,0,0,,0,0
C78,prévoyance,2022,Décés,427454.39999999997,0,0,427454.39999999997,0,0,0,0,0,427454.39999999997,0,0,0,0,,0,0
C79,prévoyance,2022,Décés,29174.290391226103,10333.750608242513,0,39508.04099946862,0,14467.25085153952,0,0,14467.25085153952,25040.7901479291,0,0,0,0,,0,0
C80,prévoyance,2022,Décés,1108631.2690612462,0,0,1108631.2690612462,0,42522.84319686972,0,0,42522.84319686972,1066108.4258643764,0,0,0,0,,0,0
C81,prévoyance,2022,Décés,132136.25902760983,0,0,132136.25902760983,0,32581.543321876397,0,0,32581.543321876397,99554.71570573344,0,0,0,0,,0,0
C82,prévoyance,2022,Décés,52277.04,0,0,52277.04,0,17186.97205479452,0,0,17186.97205479452,35090.067945205476,0,0,0,0,,0,0
C83,prévoyance,2022,Décés,83064.95999999999,0,0,83064.95999999999,0,0,0,0,0,83064.95999999999,0,0,0,0,,0,0
C84,prévoyance,2022,Décés,196032,0,0,196032,0,0,0,1733344,1733344,-1537312,0,0,0,0,,0,0
C85,prévoyance,2022,Décés,44721,3787.844262295082,0,48508.84426229508,0,3798.221917808219,0,0,3798.221917808219,44710.62234448687,0,0,0,0,,0,0
C86,prévoyance,2022,Décés,143360,0,0,143360,0,59307.83561643836,0,0,59307.83561643836,84052.16438356164,0,0,0,0,,0,0
C87,prévoyance,2022,Décés,73083.12,0,0,73083.12,0,60869.22871232877,0,0,60869.22871232877,12213.891287671227,0,0,0,0,,0,0
C88,prévoyance,2022,Décés,63596.30860930709,44691.65248845826,0,108287.96109776535,0,42339.460252223624,0,0,42339.460252223624,65948.50084554173,0,0,0,0,,0,0
C89,prévoyance,2022,Décés,94802.4,0,0,94802.4,0,0,0,0,0,94802.4,0,0,0,0,,0,0
C90,prévoyance,2022,Décés,25711.58716698213,0,0,25711.58716698213,0,10636.848389628225,0,0,10636.848389628225,15074.738777353907,0,0,0,0,,0,0
C91,prévoyance,2022,Décés,253536,168792.46027397263,0,422328.4602739726,0,168792.46027397263,0,251063.43013698634,419855.89041095896,2472.569863013632,0,0,0,500000,,166666.66666666666,1780.2503013698151
C92,prévoyance,2022,Décés,1158997.9528136523,847168.0709152136,0,2006166.023728866,0,787601.5659289877,0,0,787601.5659289877,1218564.4577998782,0,0,0,0,,0,0
C93,prévoyance,2022,Décés,9616.2,0,0,9616.2,0,8009.109041095891,0,0,8009.109041095891,1607.0909589041094,0,0,0,0,,0,0
C94,prévoyance,2022,Décés,870706.56,0,0,870706.56,0,505725.45402739727,500000,0,1005725.4540273973,-135018.89402739727,500000,500000,0,0,,166666.66666666666,0
C95,prévoyance,2022,Décés,1948730.4000000001,245514.90575342468,0,2194245.3057534248,0,315000.2564383562,0,0,315000.2564383562,1879245.0493150686,0,0,1000000,1000000,,666666.6666666666,99999.99999999999
C96,prévoyance,2022,Décés,303933.73978450906,160944.41820728683,0,464878.1579917959,0,169521.0075508164,0,0,169521.0075508164,295357.1504409795,0,0,0,0,,0,0
C97,prévoyance,2022,Décés,313547.0551378218,266517.79897729645,0,580064.8541151183,0,207676.2069952959,0,0,207676.2069952959,372388.64711982233,0,0,0,0,,0,0
C98,prévoyance,2022,Décés,58110.719999999994,28896.152547945203,0,87006.8725479452,0,19264.101698630137,0,0,19264.101698630137,67742.77084931506,0,0,0,0,,0,0
C99,prévoyance,2022,Décés,560880,168809.91780821918,0,729689.9178082192,0,185935.56164383562,1000000,0,1185935.5616438356,-456245.6438356164,1000000,1000000,0,0,,333333.3333333333,0
C100,prévoyance,2022,Décés,86545.8,0,0,86545.8,0,72081.98136986302,0,0,72081.98136986302,14463.818630136986,0,0,0,0,,0,0
C101,prévoyance,2022,Décés,183429.93466383708,31972.435470456247,0,215402.37013429333,0,39770.59046325045,0,0,39770.59046325045,175631.77967104287,0,0,0,0,,0,0
C102,prévoyance,2022,Décés,96791.88,424349.1524383562,0,521141.0324383562,0,0,0,487830.9852252414,487830.9852252414,33310.0472131148,0,0,800000,0,,266666.6666666667,23983.233993442653
C103,prévoyance,2022,Décés,101600.64000000001,0,0,101600.64000000001,500000,59011.87857534247,0,0,559011.8785753425,-457411.23857534246,500000,500000,0,0,,166666.66666666666,0
C104,prévoyance,2022,Décés,106838825.52201758,39264205.20050817,14400000,160503030.72252575,38900000,48931052.520873286,10400000,0,98231052.52087328,62271978.20165247,34900000,34900000,43600000,35200000,,37900000,5685000
C105,prévoyance,2022,Décés,39999.00000000001,0,0,39999.00000000001,0,19835.12054794521,0,0,19835.12054794521,20163.879452054796,0,0,0,0,,0,0
C106,prévoyance,2022,Décés,386261.5464706782,156872.33702279747,0,543133.8834934756,0,183728.19906746113,0,0,183728.19906746113,359405.6844260145,0,0,0,0,,0,0
C107,prévoyance,2022,Décés,388728.72000000003,0,0,388728.72000000003,350000,0,0,3430266.6757470514,3780266.6757470514,-3391537.955747051,350000,350000,0,0,,116666.66666666667,0
C108,prévoyance,2022,Décés,53308.32000000001,4688.846557377049,0,57997.16655737706,0,4527.55594520548,0,0,4527.55594520548,53469.61061217158,0,0,0,0,,0,0
C109,prévoyance,2022,Décés,31924910.41666667,16160600.2739726,5600000,53685510.69063927,11400000,17365573.424657535,5600000,0,34365573.42465754,19319937.265981734,11400000,11400000,11600000,3800000,,8933333.333333334,1340000
C110,prévoyance,2022,Décés,640339071.75,0,225600000,865939071.75,451200000,3305.860273972603,244800000,0,696003305.860274,169935765.88972604,470400000,470400000,598800000,0,,356400000,53460000
C111,prévoyance,2022,Décés,498740.05,0,300000,798740.05,2000000,0,3600000,668612.0469728501,6268612.04697285,-5469871.9969728505,5300000,5300000,1300000,2000000,,2866666.6666666665,0
C112,prévoyance,2022,Décés,733968.7199999999,494804.2783561643,0,1228772.9983561642,600000,241304.78465753418,0,0,841304.7846575342,387468.21369863,600000,600000,250000,0,,283333.3333333333,42499.99999999999
C113,prévoyance,2022,Décés,1012584.96,128795.41479452055,0,1141380.3747945204,600000,249678.4832876712,0,0,849678.4832876712,291701.8915068492,600000,600000,0,0,,200000,30000
C114,prévoyance,2022,Décés,19219446.473614316,7668686.616125674,3000000,29888133.08973999,5100000,9406630.007232172,0,0,14506630.007232172,15381503.082507817,2100000,2100000,3000000,0,,1700000,255000
C115,prévoyance,2022,Décés,8444206.08,0,0,8444206.08,3000000,0,0,0,3000000,5444206.08,3000000,3000000,0,0,,1000000,150000
C116,prévoyance,2022,Décés,7081956,0,6000000,13081956,18000000,0,6000000,0,24000000,-10918044,18000000,18000000,6000000,0,,8000000,0
C117,prévoyance,2022,Décés,52411.2,0,0,52411.2,0,21682.441643835617,0,0,21682.441643835617,30728.75835616438,0,0,0,0,,0,0
C118,prévoyance,2022,Décés,413712,0,0,413712,0,205155.81369863014,0,0,205155.81369863014,208556.18630136986,0,0,0,0,,0,0
C119,prévoyance,2022,Décés,654461.28,172313.856,0,826775.136,0,186476.6386849315,0,0,186476.6386849315,640298.4973150685,0,0,0,0,,0,0
C120,prévoyance,2022,Décés,1688922.1800000002,0,0,1688922.1800000002,3500000,0,0,1343610.4999999998,4843610.5,-3154688.32,3500000,3500000,3000000,0,,2166666.6666666665,0
C121,prévoyance,2022,Décés,79749.23999999999,0,0,79749.23999999999,0,19664.196164383557,0,0,19664.196164383557,60085.04383561644,0,0,0,0,,0,0
C122,prévoyance,2022,Décés,29202.072022468776,9292.96707142842,0,38495.0390938972,0,12080.857192856945,0,0,12080.857192856945,26414.181901040254,0,0,0,0,,0,0
C123,prévoyance,2022,Décés,887293.7268365512,343839.7816428515,0,1231133.5084794026,0,367072.19932142255,0,0,367072.19932142255,864061.3091579801,0,0,0,0,,0,0
C124,prévoyance,2022,Décés,25479.359999999997,4537.420273972602,0,30016.7802739726,0,6282.581917808218,0,0,6282.581917808218,23734.19835616438,0,0,0,0,,0,0
